"name","red","green","blue"
"DarkBlue","0","0","139"
"DarkCyan","0","139","139"
"DarkGoldenRod","184","134","11"
"DarkGray","169","169","169"
"DarkGrey","169","169","169"
"DarkGreen","0","100","0"
"DarkKhaki","189","183","107"
"DarkMagenta","139","0","139"
"DarkOliveGreen","85","107","47"
"DarkOrange","255","140","0"
"DarkOrchid","153","50","204"
"DarkRed","139","0","0"
"DarkSalmon","233","150","122"
"DarkSeaGreen","143","188","143"
"DarkSlateBlue","72","61","139"
"DarkSlateGray","47","79","79"
"DarkSlateGrey","47","79","79"
"DarkTurquoise","0","206","209"
"DarkViolet","148","0","211"
